rawRetailerName,rawStreetAddress,rawCity,rawState,rawZip,rawFullAddress,retailerName,streetAddress,city,state,zip,fullAddress,fiscalYear,key,decisionType,decisionDate,inspectionDate,inspectionYear,match,referenceNumber,isWarningSent,isMinorInvolved,saleToMinor,ucmNumber,warningUrl,warningDate,civilFine,ViolationCount
FRANKLIN GRILLE,4000 WISCONSIN AVENUE NORTHWEST,WASHINGTON,DC,20016,"4000 WISCONSIN AVENUE NORTHWEST, WASHINGTON, DC 20016",Franklin Grille,4000 WISCONSIN AVENUE NORTHWEST,WASHINGTON,DC,20016,"4000 Wisconsin Avenue Northwest, Washington, Dc 20016",2013,"Franklin Grille (4000 WISCONSIN AVENUE NORTHWEST, WASHINGTON, DC 20016)",Warning Letter,6/20/13,6/4/13,2013,,13DC000385,1,1,1,360642,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm360642.htm,6/20/13,,2
SAFEWAY,1855 WISCONSIN AVENUE NORTHWEST,WASHINGTON,DC,20007,"1855 WISCONSIN AVENUE NORTHWEST, WASHINGTON, DC 20007",Safeway,1855 WISCONSIN AVENUE NORTHWEST,WASHINGTON,DC,20007,"1855 Wisconsin Avenue Northwest, Washington, Dc 20007",2013,"Safeway (1855 WISCONSIN AVENUE NORTHWEST, WASHINGTON, DC 20007)",Warning Letter,6/20/13,6/4/13,2013,,13DC000379,1,1,1,360188,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm360188.htm,6/20/13,,2
HESS,1739 NEW JERSEY AVENUE NORTHWEST,WASHINGTON,DC,20001,"1739 NEW JERSEY AVENUE NORTHWEST, WASHINGTON, DC 20001",Hess,1739 NEW JERSEY AVENUE NORTHWEST,WASHINGTON,DC,20001,"1739 New Jersey Avenue Northwest, Washington, Dc 20001",2013,"Hess (1739 NEW JERSEY AVENUE NORTHWEST, WASHINGTON, DC 20001)",Warning Letter,6/6/13,5/21/13,2013,,13DC000315,1,1,1,358097,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm358097.htm,6/6/13,,2
ABC AUTO SERVICE,2715 PENNSYLVANIA AVENUE NORTHWEST,WASHINGTON,DC,20007,"2715 PENNSYLVANIA AVENUE NORTHWEST, WASHINGTON, DC 20007",Abc Auto Service,2715 PENNSYLVANIA AVENUE NORTHWEST,WASHINGTON,DC,20007,"2715 Pennsylvania Avenue Northwest, Washington, Dc 20007",2013,"Abc Auto Service (2715 PENNSYLVANIA AVENUE NORTHWEST, WASHINGTON, DC 20007)",Warning Letter,5/30/13,5/13/13,2013,,13DC000339,1,1,1,358006,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm358006.htm,5/30/13,,3
CROWN,2210 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20018,"2210 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20018",Crown,2210 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20018,"2210 Bladensburg Road Northeast, Washington, Dc 20018",2013,"Crown (2210 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20018)",Warning Letter,5/30/13,5/15/13,2013,,13DC000320,1,1,1,357955,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm357955.htm,5/30/13,,3
SAMMY'S LIQUOR,2725 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20018,"2725 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20018",Sammy's Liquor,2725 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20018,"2725 Bladensburg Road Northeast, Washington, Dc 20018",2013,"Sammy's Liquor (2725 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20018)",Warning Letter,5/30/13,5/15/13,2013,,13DC000318,1,1,1,358347,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm358347.htm,5/30/13,,3
THE CORNER MARKET,400 EAST CAPITOL STREET NORTHEAST,WASHINGTON,DC,20003,"400 EAST CAPITOL STREET NORTHEAST, WASHINGTON, DC 20003",The Corner Market,400 EAST CAPITOL STREET NORTHEAST,WASHINGTON,DC,20003,"400 East Capitol Street Northeast, Washington, Dc 20003",2013,"The Corner Market (400 EAST CAPITOL STREET NORTHEAST, WASHINGTON, DC 20003)",Warning Letter,5/30/13,5/14/13,2013,,13DC000345,1,1,1,358020,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm358020.htm,5/30/13,,3
DANNY'S CARRYOUT,3710 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3710 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019",Danny's Carryout,3710 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3710 Minnesota Avenue Northeast, Washington, Dc 20019",2013,"Danny's Carryout (3710 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,5/23/13,2/25/13,2013,,13DC000006AB,1,1,1,356555,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm356555.htm,5/23/13,,3
LUCKY 7 LIQUORS,2310 RHODE ISLAND AVENUE NORTHEAST,WASHINGTON,DC,20018,"2310 RHODE ISLAND AVENUE NORTHEAST, WASHINGTON, DC 20018",Lucky 7 Liquors,2310 RHODE ISLAND AVENUE NORTHEAST,WASHINGTON,DC,20018,"2310 Rhode Island Avenue Northeast, Washington, Dc 20018",2013,"Lucky 7 Liquors (2310 RHODE ISLAND AVENUE NORTHEAST, WASHINGTON, DC 20018)",Warning Letter,5/23/13,,,,13DC000327,1,1,1,357227,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm357227.htm,5/23/13,,3
STOP AND GO MARKET,3001 SHERMAN AVENUE NORTHWEST,WASHINGTON,DC,20001,"3001 SHERMAN AVENUE NORTHWEST, WASHINGTON, DC 20001",Stop And Go Market,3001 SHERMAN AVENUE NORTHWEST,WASHINGTON,DC,20001,"3001 Sherman Avenue Northwest, Washington, Dc 20001",2013,"Stop And Go Market (3001 SHERMAN AVENUE NORTHWEST, WASHINGTON, DC 20001)",Warning Letter,5/23/13,5/6/13,2013,,13DC000258,1,1,1,357447,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm357447.htm,5/23/13,,2
ABC GROCERY/M&K INC.,1401 6TH STREET NORTHWEST,WASHINGTON,DC,20001,"1401 6TH STREET NORTHWEST, WASHINGTON, DC 20001",Abc Grocery-m&k,1401 6TH STREET NORTHWEST,WASHINGTON,DC,20001,"1401 6th Street Northwest, Washington, Dc 20001",2013,"Abc Grocery-m&k (1401 6TH STREET NORTHWEST, WASHINGTON, DC 20001)",Warning Letter,5/16/13,5/1/13,2013,,13DC000271,1,1,1,355889,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm355889.htm,5/16/13,,2
CVS/PHARMACY #21,1117 10TH STREET COMMERCIAL UNIT,WASHINGTON,DC,20001,"1117 10TH STREET COMMERCIAL UNIT, WASHINGTON, DC 20001",Cvs-pharmacy #21,1117 10TH STREET COMMERCIAL UNIT,WASHINGTON,DC,20001,"1117 10th Street Commercial Unit, Washington, Dc 20001",2013,"Cvs-pharmacy #21 (1117 10TH STREET COMMERCIAL UNIT, WASHINGTON, DC 20001)",Warning Letter,5/16/13,5/1/13,2013,,13DC000261,1,1,1,355896,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm355896.htm,5/16/13,,3
KING GAS STATION,2917 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST,WASHINGTON,DC,20032,"2917 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST, WASHINGTON, DC 20032",King Gas Station,2917 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST,WASHINGTON,DC,20032,"2917 Martin Luther King Junior Avenue Southeast, Washington, Dc 20032",2013,"King Gas Station (2917 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST, WASHINGTON, DC 20032)",Warning Letter,5/2/13,10/10/12,2012,,12DC000486AB1,1,1,1,353956,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm353956.htm,5/2/13,,2
CHINA INN DELI,2918 MARTIN LUTHER KING JR AVENUE SOUTH EAST,WASHINGTON,DC,20032,"2918 MARTIN LUTHER KING JR AVENUE SOUTH EAST, WASHINGTON, DC 20032",China Inn Deli,2918 MARTIN LUTHER KING JR AVENUE SOUTH EAST,WASHINGTON,DC,20032,"2918 Martin Luther King Jr Avenue South East, Washington, Dc 20032",2013,"China Inn Deli (2918 MARTIN LUTHER KING JR AVENUE SOUTH EAST, WASHINGTON, DC 20032)",Warning Letter,4/25/13,3/19/13,2013,,13DC000160,1,1,1,353794,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm353794.htm,4/25/13,,2
AB LIQUORS,1803 COLUMBIA ROAD NORTHWEST,WASHINGTON,DC,20009,"1803 COLUMBIA ROAD NORTHWEST, WASHINGTON, DC 20009",Ab Liquors,1803 COLUMBIA ROAD NORTHWEST,WASHINGTON,DC,20009,"1803 Columbia Road Northwest, Washington, Dc 20009",2013,"Ab Liquors (1803 COLUMBIA ROAD NORTHWEST, WASHINGTON, DC 20009)",Warning Letter,4/18/13,4/4/13,2013,,13DC000241,1,1,1,353612,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm353612.htm,4/18/13,,3
CVS/PHARMACY #1341,1199 VERMONT AVENUE NORTHWEST,WASHINGTON,DC,20005,"1199 VERMONT AVENUE NORTHWEST, WASHINGTON, DC 20005",Cvs-pharmacy #1341,1199 VERMONT AVENUE NORTHWEST,WASHINGTON,DC,20005,"1199 Vermont Avenue Northwest, Washington, Dc 20005",2013,"Cvs-pharmacy #1341 (1199 VERMONT AVENUE NORTHWEST, WASHINGTON, DC 20005)",Warning Letter,4/18/13,4/1/13,2013,,13DC000208,1,1,1,353442,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm353442.htm,4/18/13,,3
FAIR PRICE MARKET & DELI,1322 14TH STREET NORTHWEST,WASHINGTON,DC,20005,"1322 14TH STREET NORTHWEST, WASHINGTON, DC 20005",Fair Price Market & Deli,1322 14TH STREET NORTHWEST,WASHINGTON,DC,20005,"1322 14th Street Northwest, Washington, Dc 20005",2013,"Fair Price Market & Deli (1322 14TH STREET NORTHWEST, WASHINGTON, DC 20005)",Warning Letter,4/18/13,4/1/13,2013,,13DC000205,1,1,1,353426,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm353426.htm,4/18/13,,2
SAV ON LIQUOR,1414 14TH STREET NORTHWEST,WASHINGTON,DC,20005,"1414 14TH STREET NORTHWEST, WASHINGTON, DC 20005",Sav On Liquor,1414 14TH STREET NORTHWEST,WASHINGTON,DC,20005,"1414 14th Street Northwest, Washington, Dc 20005",2013,"Sav On Liquor (1414 14TH STREET NORTHWEST, WASHINGTON, DC 20005)",Warning Letter,4/18/13,4/2/13,2013,,13DC000216,1,1,1,353589,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm353589.htm,4/18/13,,2
DOLLAR PLUS FOOD STORE,2529 PENNSYLVANIA AVENUE SOUTHEAST,WASHINGTON,DC,20020,"2529 PENNSYLVANIA AVENUE SOUTHEAST, WASHINGTON, DC 20020",Dollar Plus Food Store,2529 PENNSYLVANIA AVENUE SOUTHEAST,WASHINGTON,DC,20020,"2529 Pennsylvania Avenue Southeast, Washington, Dc 20020",2013,"Dollar Plus Food Store (2529 PENNSYLVANIA AVENUE SOUTHEAST, WASHINGTON, DC 20020)",Warning Letter,4/4/13,3/13/13,2013,,12DC000533,1,1,1,350201,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm350201.htm,4/4/13,,3
FAMILY LIQUORS,710 H STREET NORTHEAST,WASHINGTON,DC,20002,"710 H STREET NORTHEAST, WASHINGTON, DC 20002",Family Liquors,710 H STREET NORTHEAST,WASHINGTON,DC,20002,"710 H Street Northeast, Washington, Dc 20002",2013,"Family Liquors (710 H STREET NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,4/4/13,3/11/13,2013,,12DC000498,1,1,1,349053,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm349053.htm,4/4/13,,3
M & Z,3041 NAYLOR ROAD SOUTH EAST,WASHINGTON,DC,20020,"3041 NAYLOR ROAD SOUTH EAST, WASHINGTON, DC 20020",M & Z,3041 NAYLOR ROAD SOUTH EAST,WASHINGTON,DC,20020,"3041 Naylor Road South East, Washington, Dc 20020",2013,"M & Z (3041 NAYLOR ROAD SOUTH EAST, WASHINGTON, DC 20020)",Warning Letter,4/4/13,3/20/13,2013,,13DC000163,1,1,1,352395,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm352395.htm,4/4/13,,3
CHADWICKS,"5247 WISCONSIN AVENUE, NORTHWEST",WASHINGTON,DC,20015,"5247 WISCONSIN AVENUE, NORTHWEST, WASHINGTON, DC 20015",Chadwicks,"5247 WISCONSIN AVENUE, NORTHWEST",WASHINGTON,DC,20015,"5247 Wisconsin Avenue, Northwest, Washington, Dc 20015",2013,"Chadwicks (5247 WISCONSIN AVENUE, NORTHWEST, WASHINGTON, DC 20015)",Warning Letter,1/10/13,12/28/12,2012,,13DC000056,1,,,340286,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm340286.htm,1/10/13,,3
CHO'S MARKET,1535 U STREET SOUTHEAST,WASHINGTON,DC,20020,"1535 U STREET SOUTHEAST, WASHINGTON, DC 20020",Cho's Market,1535 U STREET SOUTHEAST,WASHINGTON,DC,20020,"1535 U Street Southeast, Washington, Dc 20020",2013,"Cho's Market (1535 U STREET SOUTHEAST, WASHINGTON, DC 20020)",Warning Letter,11/1/12,8/15/12,2012,,12DC000444,1,1,1,332338,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm332338.htm,11/1/12,,2
PARAMOUNT MARKET,2200 16TH STREET SOUTHEAST,WASHINGTON,DC,20020,"2200 16TH STREET SOUTHEAST, WASHINGTON, DC 20020",Paramount Market,2200 16TH STREET SOUTHEAST,WASHINGTON,DC,20020,"2200 16th Street Southeast, Washington, Dc 20020",2013,"Paramount Market (2200 16TH STREET SOUTHEAST, WASHINGTON, DC 20020)",Warning Letter,11/1/12,8/15/12,2012,,12DC000420,1,1,1,330571,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm330571.htm,11/2/12,,3
WATERGATE WINE & BEVERAGE,2544 VIRGINIA AVENUE NORTHWEST,WASHINGTON,DC,20037,"2544 VIRGINIA AVENUE NORTHWEST, WASHINGTON, DC 20037",Watergate Wine & Beverage,2544 VIRGINIA AVENUE NORTHWEST,WASHINGTON,DC,20037,"2544 Virginia Avenue Northwest, Washington, Dc 20037",2014,"Watergate Wine & Beverage (2544 VIRGINIA AVENUE NORTHWEST, WASHINGTON, DC 20037)",Warning Letter,8/14/14,4/22/14,2014,,13DC000505,1,1,1,414822,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm414822.htm,8/14/14,,3
EXXON,2150 M STREET NORTHWEST,WASHINGTON,DC,20037,"2150 M STREET NORTHWEST, WASHINGTON, DC 20037",Exxon,2150 M STREET NORTHWEST,WASHINGTON,DC,20037,"2150 M Street Northwest, Washington, Dc 20037",2014,"Exxon (2150 M STREET NORTHWEST, WASHINGTON, DC 20037)",Warning Letter,6/26/14,5/6/14,2014,,13DC000498,1,1,1,404606,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm404606.htm,6/26/14,,2
LOG CABIN LIQUOR,1748 7TH STREET NORTHWEST,WASHINGTON,DC,20001,"1748 7TH STREET NORTHWEST, WASHINGTON, DC 20001",Log Cabin Liquor,1748 7TH STREET NORTHWEST,WASHINGTON,DC,20001,"1748 7th Street Northwest, Washington, Dc 20001",2014,"Log Cabin Liquor (1748 7TH STREET NORTHWEST, WASHINGTON, DC 20001)",Warning Letter,6/26/14,4/23/14,2014,,13DC000532,1,1,1,403576,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm403576.htm,6/26/14,,3
SUNOCO,2200 P STREET NORTHWEST,WASHINGTON,DC,20037,"2200 P STREET NORTHWEST, WASHINGTON, DC 20037",Sunoco,2200 P STREET NORTHWEST,WASHINGTON,DC,20037,"2200 P Street Northwest, Washington, Dc 20037",2014,"Sunoco (2200 P STREET NORTHWEST, WASHINGTON, DC 20037)",Warning Letter,6/26/14,5/6/14,2014,,13DC000504,1,1,1,404189,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm404189.htm,6/26/14,,3
CHINA INN DELI,2918 MARTIN LUTHER KING JR AVENUE SOUTH EAST,WASHINGTON,DC,20032,"2918 MARTIN LUTHER KING JR AVENUE SOUTH EAST, WASHINGTON, DC 20032",China Inn Deli,2918 MARTIN LUTHER KING JR AVENUE SOUTH EAST,WASHINGTON,DC,20032,"2918 Martin Luther King Jr Avenue South East, Washington, Dc 20032",2014,"China Inn Deli (2918 MARTIN LUTHER KING JR AVENUE SOUTH EAST, WASHINGTON, DC 20032)",Civil Money Penalty,1/24/14,3/19/13,2013,,,1,1,1,385731,http://www.fda.gov/downloads/tobaccoproducts/guidancecomplianceregulatoryinformation/ucm385731.pdf,1/2/14,500,2
CHINA WOK,1508 BENNING ROAD NORTHEAST,WASHINGTON,DC,20002,"1508 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002",China Wok,1508 BENNING ROAD NORTHEAST,WASHINGTON,DC,20002,"1508 Benning Road Northeast, Washington, Dc 20002",2014,"China Wok (1508 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,11/27/13,8/12/13,2013,,13DC000134AB,1,1,1,377666,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm377666.htm,11/27/13,,3
EXXON,2651 BENNING ROAD NORTHEAST,WASHINGTON,DC,20002,"2651 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002",Exxon,2651 BENNING ROAD NORTHEAST,WASHINGTON,DC,20002,"2651 Benning Road Northeast, Washington, Dc 20002",2014,"Exxon (2651 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,11/27/13,8/12/13,2013,,13DC000130AB,1,1,1,378007,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm378007.htm,11/27/13,,3
SHELL,4321 NANNIE HELEN BURROUGHS AVENUE NORTHEAST,WASHINGTON,DC,20019,"4321 NANNIE HELEN BURROUGHS AVENUE NORTHEAST, WASHINGTON, DC 20019",Shell,4321 NANNIE HELEN BURROUGHS AVENUE NORTHEAST,WASHINGTON,DC,20019,"4321 Nannie Helen Burroughs Avenue Northeast, Washington, Dc 20019",2014,"Shell (4321 NANNIE HELEN BURROUGHS AVENUE NORTHEAST, WASHINGTON, DC 20019)",Civil Money Penalty,10/7/13,,,,,1,1,1,375884,http://www.fda.gov/downloads/tobaccoproducts/guidancecomplianceregulatoryinformation/ucm375884.pdf,9/25/13,500,2
J & F DOLLAR & FOOD GROCERY STORE,1245 5TH STREET NW,WASHINGTON,DC,20001,"1245 5TH STREET NW, WASHINGTON, DC 20001",J & F Dollar & Food Grocery Store,1245 5TH STREET NW,WASHINGTON,DC,20001,"1245 5th Street Nw, Washington, Dc 20001",2015,"J & F Dollar & Food Grocery Store (1245 5TH STREET NW, WASHINGTON, DC 20001)",Warning Letter,2/12/15,1/28/15,2015,,15DC000148,1,,,437961,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm437961.htm,2/12/15,,2
CAPITOL HILL WINE & SPIRITS,323 PENNSYLVANIA AVENUE SOUTHEAST,WASHINGTON,DC,20003,"323 PENNSYLVANIA AVENUE SOUTHEAST, WASHINGTON, DC 20003",Capitol Hill Wine & Spirits,323 PENNSYLVANIA AVENUE SOUTHEAST,WASHINGTON,DC,20003,"323 Pennsylvania Avenue Southeast, Washington, Dc 20003",2015,"Capitol Hill Wine & Spirits (323 PENNSYLVANIA AVENUE SOUTHEAST, WASHINGTON, DC 20003)",Warning Letter,12/18/14,11/21/14,2014,,15DC000094,1,,,430141,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm430141.htm,12/18/14,,2
1 WEST DUPONT CIRCLE WINES & LIQUORS,2012 P STREET NORTHWEST,WASHINGTON,DC,20036,"2012 P STREET NORTHWEST, WASHINGTON, DC 20036",1 West Dupont Circle Wines & Liquors,2012 P STREET NORTHWEST,WASHINGTON,DC,20036,"2012 P Street Northwest, Washington, Dc 20036",2015,"1 West Dupont Circle Wines & Liquors (2012 P STREET NORTHWEST, WASHINGTON, DC 20036)",Warning Letter,12/4/14,11/19/14,2014,,15DC000108,1,,,429956,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm429956.htm,12/4/14,,2
MY CANTON RESTAURANT,1772 COLUMBIA ROAD NORTHWEST,WASHINGTON,DC,20009,"1772 COLUMBIA ROAD NORTHWEST, WASHINGTON, DC 20009",My Canton Restaurant,1772 COLUMBIA ROAD NORTHWEST,WASHINGTON,DC,20009,"1772 Columbia Road Northwest, Washington, Dc 20009",2015,"My Canton Restaurant (1772 COLUMBIA ROAD NORTHWEST, WASHINGTON, DC 20009)",Warning Letter,12/4/14,11/18/14,2014,,15DC000039,1,,,429284,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm429284.htm,12/4/14,,2
